Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
20,"VF Nowshirvani","A modified adaptive expectations model",1971,"American Journal of Agricultural Economics","JSTOR","https://www.jstor.org/stable/3180307","https://scholar.google.com/scholar?cites=1359879335701902259&as_sdt=2005&sciodt=2007&hl=en",4,"2022-02-09 13:55:36","","","","",,,,,20,0.39,20,1,51,"… As we can see from equation (17), rational expectations in this model are a modified form of adaptive expectations. The form of equation (17) is quite reasonable on intuitive grounds. One would expect farmer's reactions to price changes to depend on harvest conditions. …","https://scholar.google.com/scholar?output=instlink&q=info:s_PnBQ1D3xIJ:scholar.google.com/&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971&scillfp=18098574514159897289&oi=lle","https://scholar.google.com/scholar?q=related:s_PnBQ1D3xIJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
3,"M Mussa","Sticky Prices and Disequilibrium Adjustmentin a Rational Expectations Model of the Inflation Process",1971,"American Economic Review","","","https://scholar.google.com/scholar?cites=17021337589086824204&as_sdt=2005&sciodt=2007&hl=en",23,"2022-02-09 13:55:36","CITATION","","","",,,,,3,0.06,3,1,51,"","","https://scholar.google.com/scholar?q=related:DCeGt1rwN-wJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
0,"Berkeley. Institute of Business","Research Program in Finance Working Paper Series",1971,"","University of California, Berkeley …","","",43,"2022-02-09 13:55:36","CITATION","","","",,,,,0,0.00,0,1,51,"","","https://scholar.google.com/scholar?q=related:10w6KJdURVIJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
17809,"KJ Arrow","The economic implications of learning by doing",1971,"Readings in the Theory of Growth","Springer","https://link.springer.com/chapter/10.1007/978-1-349-15430-2_11","https://scholar.google.com/scholar?cites=10762295181335158579&as_sdt=2005&sciodt=2007&hl=en",47,"2022-02-09 13:55:36","","10.1007/978-1-349-15430-2_11","","",,,,,17809,349.20,17809,1,51,"… Such a state of affairs is frequently referred to as "" perfect foresight,"" but a better term is "" rational expectations,"" a term introduced by 1. … and this is to be compared with T; the full employment solution with rational expectations of exponentially increasing wages and constant …","https://apps.dtic.mil/sti/pdfs/AD0268919.pdf","https://scholar.google.com/scholar?q=related:M19hQ3JaW5UJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
0,"F Antonovitz","Invited paper presented at the Annual Meetings of the American Agricultural Economics Association, Cornell University, August 5-8, 1984.",1971,"Staff Paper","Department of Agricultural and …","","",49,"2022-02-09 13:55:36","CITATION","","","",,,,,0,0.00,0,1,51,"","","https://scholar.google.com/scholar?q=related:i2yeVV7goZ4J:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
0,"JH Wulsin","Appendicitis: The Seven Anomalies",1971,"JAMA","jamanetwork.com","https://jamanetwork.com/journals/jama/article-abstract/360324","",50,"2022-02-09 13:55:36","","","","",,,,,0,0.00,0,1,51,"… As in a gracious home, where the arrangement of contents is determined more by the individual taste of the owner than the rational expectations of the guests, the chapters offer a succession of personal descriptions cast in the phraseology of the master clinicians of an earlier …","https://scholar.google.com/scholar?output=instlink&q=info:mR8C_fdGk5oJ:scholar.google.com/&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971&scillfp=17614012005356763534&oi=lle",""
0,"JH Wulsin","Appendicitis: The Seven Anomalies",1971,"JAMA","jamanetwork.com","https://jamanetwork.com/journals/jama/article-abstract/360324","",51,"2022-02-09 13:55:36","","","","",,,,,0,0.00,0,1,51,"… As in a gracious home, where the arrangement of contents is determined more by the individual taste of the owner than the rational expectations of the guests, the chapters offer a succession of personal descriptions cast in the phraseology of the master clinicians of an earlier …","https://scholar.google.com/scholar?output=instlink&q=info:mR8C_fdGk5oJ:scholar.google.com/&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971&scillfp=17614012005356763534&oi=lle",""
435,"TJ Sargent","A note on the"" accelerationist"" controversy",1971,"Journal of Money, Credit and Banking","JSTOR","https://www.jstor.org/stable/1991369","https://scholar.google.com/scholar?cites=8207108278337756731&as_sdt=2005&sciodt=2007&hl=en",52,"2022-02-09 13:55:36","","","","",,,,,435,8.53,435,1,51,"Recent empirical tests of the Phelps-Friedman"" accelerationist"" view of the Phillips curve are marred by the fact that their validity is predicated on the adequacy of a very suspect maintained hypothesis. l Those tests all involve obtaining estimates of the notorious parameter"" a"" in …","","https://scholar.google.com/scholar?q=related:O159-36B5XEJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
90,"AA Walters","Consistent expectations, distributed lags and the quantity theory",1971,"The Economic Journal","JSTOR","https://www.jstor.org/stable/2230071","https://scholar.google.com/scholar?cites=1581875548309144224&as_sdt=2005&sciodt=2007&hl=en",56,"2022-02-09 13:55:36","","","","",,,,,90,1.76,90,1,51,"… 1 What I call consistent expectations is formally similar to Richard Muth's rational expectations. ("" Rational Expectations and the Theory of Price Movements,"" Econometrica 29, pp. 315-35, July 1961.) The treatment and subject-matter are, however, different. …","https://scholar.google.com/scholar?output=instlink&q=info:oMLXF27z8xUJ:scholar.google.com/&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971&scillfp=12265773003634456361&oi=lle","https://scholar.google.com/scholar?q=related:oMLXF27z8xUJ:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
3,"JC Hause","A Note on Distributed Lags with Rational Polynomial Generating Functions",1971,"Econometrica: Journal of the Econometric Society","JSTOR","https://www.jstor.org/stable/1909677","https://scholar.google.com/scholar?cites=5755193512246369301&as_sdt=2005&sciodt=2007&hl=en",71,"2022-02-09 13:55:36","","","","",,,,,3,0.06,3,1,51,"SINCE THE PIONEERING work of Irving Fisher [3], econometricians have made numerous attempts to specify distributed lags by functions containing only a few parameters [1, 7, 14]. Jorgenson recently proposed the class of distributed lags with rational polynomial generating …","","https://scholar.google.com/scholar?q=related:FdwTzwGO3k8J:scholar.google.com/&scioq=%22rational+expectations%22&hl=en&as_sdt=2007&as_ylo=1955&as_yhi=1971"
